ST # ;ROAD;PC;WARD;PLAN;LOT;CONTRACTOR ;BLG TYPE ;MUNICIPALITY ;DESCRIPTION;D.U.;VALUE;FT2;PERMIT#;APPL. TYPE;ISSUED DATE
719  ;MEGREZ WAY ;;Ward 3;;;MATTAMY DEVELOPMENT CORPORATION;Rowhouse;Nepean;Construct a 2 Storey Rowhouse with attached garages  Models: Oak End CR 2019,Lilac 2019 CR,Oak CR 2019,Majestic 2019 CR;4;883 365;6742;2001703;Construction; 2020-mars-16
2330  ;STONEY LANE ;K4C1B9;Ward 19;50M-99;3;CONTRACTOR UNKNOWN;Single;Cumberland;Construct a 1 storey addition and deck to a 1 storey detached dwelling (rear yard);0;22 558;413;2001704;Construction; 2020-mars-16
5517  ;MANOTICK MAIN ST ;;Ward 21;15;1;TERLIN CONSTRUCTION LTD.;Retail;Rideau;Tenant fit up in a 1 storey retail building (Body & Mind Athletics);0;375 000;4306;2001705;Construction; 2020-mars-16
701  ;MEGREZ WAY ;;Ward 3;;;MATTAMY DEVELOPMENT CORPORATION;Rowhouse;Nepean;Construct a 2 Storey Rowhouse with attached garages  Models: Fir 2019 TN,Pristine 2019 TN,Majestic 2019 TN,Lilac 2019 TN,Oak End TN 2019,Fir 2019 TN;6;1 290 842;9925;2001706;Construction; 2020-mars-16
703  ;MEGREZ WAY ;;Ward 3;;;MATTAMY DEVELOPMENT CORPORATION;Rowhouse;Nepean;Construct a 2 Storey Rowhouse with attached garages  Models: Fir 2019 TN,Pristine 2019 TN,Majestic 2019 TN,Lilac 2019 TN,Oak End TN 2019,Fir 2019 TN;6;1 290 842;9925;2001706;Construction; 2020-mars-16
705  ;MEGREZ WAY ;;Ward 3;;;MATTAMY DEVELOPMENT CORPORATION;Rowhouse;Nepean;Construct a 2 Storey Rowhouse with attached garages  Models: Fir 2019 TN,Pristine 2019 TN,Majestic 2019 TN,Lilac 2019 TN,Oak End TN 2019,Fir 2019 TN;6;1 290 842;9925;2001706;Construction; 2020-mars-16
707  ;MEGREZ WAY ;;Ward 3;;;MATTAMY DEVELOPMENT CORPORATION;Rowhouse;Nepean;Construct a 2 Storey Rowhouse with attached garages  Models: Fir 2019 TN,Pristine 2019 TN,Majestic 2019 TN,Lilac 2019 TN,Oak End TN 2019,Fir 2019 TN;6;1 290 842;9925;2001706;Construction; 2020-mars-16
709  ;MEGREZ WAY ;;Ward 3;;;MATTAMY DEVELOPMENT CORPORATION;Rowhouse;Nepean;Construct a 2 Storey Rowhouse with attached garages  Models: Fir 2019 TN,Pristine 2019 TN,Majestic 2019 TN,Lilac 2019 TN,Oak End TN 2019,Fir 2019 TN;6;1 290 842;9925;2001706;Construction; 2020-mars-16
711  ;MEGREZ WAY ;;Ward 3;;;MATTAMY DEVELOPMENT CORPORATION;Rowhouse;Nepean;Construct a 2 Storey Rowhouse with attached garages  Models: Fir 2019 TN,Pristine 2019 TN,Majestic 2019 TN,Lilac 2019 TN,Oak End TN 2019,Fir 2019 TN;6;1 290 842;9925;2001706;Construction; 2020-mars-16
142  ;RYLAND ST ;K2J6R1;Ward 3;;8;GLENVIEW HOMES (DEERFOX) LTD.;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: 36-01 2018 E;1;315 042;1884;2001707;Construction; 2020-mars-16
3638  ;DUNROBIN RD ;K0A3M0;Ward 5;;9;POOL BUILDERS OTTAWA;Single;West Carleton;Install an enclosure for an inground pool (rear yard);0;0;0;2001708;Pool Enclosure; 2020-mars-16
145  ;RYLAND ST ;K2J6R1;Ward 3;;36;GLENVIEW HOMES (DEERFOX) LTD.;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: 36-11 2017 A;1;431 427;2580;2001709;Construction; 2020-mars-16
133  ;RYLAND ST ;K2J6R1;Ward 3;;11;GLENVIEW HOMES (DEERFOX) LTD.;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: 36-11 2017 E;1;431 427;2580;2001710;Construction; 2020-mars-16
138  ;RYLAND ST ;K2J6R1;Ward 3;;10;GLENVIEW HOMES (DEERFOX) LTD.;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: 36-04 2018 B;1;373 235;2232;2001711;Construction; 2020-mars-16
144  ;RYLAND ST ;K2J6R1;Ward 3;;7;GLENVIEW HOMES (DEERFOX) LTD.;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: 36-03 2018 B;1;382 432;2287;2001712;Construction; 2020-mars-16
146  ;RYLAND ST ;K2J6R1;Ward 3;;6;GLENVIEW HOMES (DEERFOX) LTD.;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: 36-05 2016 C;1;306 514;1833;2001713;Construction; 2020-mars-16
127  ;RYLAND ST ;K2J6R1;Ward 3;;14;GLENVIEW HOMES (DEERFOX) LTD.;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: 36-03 2018 E;1;382 432;2287;2001714;Construction; 2020-mars-16
131  ;RYLAND ST ;K2J6R1;Ward 3;;12;GLENVIEW HOMES (DEERFOX) LTD.;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: 36-03 2018 E;1;382 432;2287;2001715;Construction; 2020-mars-16
69  ;VIEWMOUNT DR ;K2G3B9;Ward 8;4M-19808;286;BRENT KELLY DESIGN SERVICES;Single;Nepean;Construct a secondary dwelling in a 1 storey detached dwelling (basement);1;25 000;940;2001716;Construction; 2020-mars-16
228  ;MCCLELLAN RD ;K2H7W9;Ward 9;564018;145;BRENT KELLY DESIGN SERVICES;Single;Nepean;Interior alterations in a 2 storey detached dwelling.;0;35 000;800;2001717;Construction; 2020-mars-16
129  ;RYLAND ST ;K2J6R1;Ward 3;;13;GLENVIEW HOMES (DEERFOX) LTD.;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: 36-01 2018 A;1;314 540;1881;2001718;Construction; 2020-mars-16
148  ;RYLAND ST ;K2J6R1;Ward 3;;5;GLENVIEW HOMES (DEERFOX) LTD.;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: 36-11 2017 E;1;431 427;2580;2001719;Construction; 2020-mars-16
147  ;RYLAND ST ;K2J6R1;Ward 3;;37;GLENVIEW HOMES (DEERFOX) LTD.;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: 36-03 2018 A;1;382 432;2287;2001720;Construction; 2020-mars-16
155  ;RYLAND ST ;K2J6R1;Ward 3;;41;GLENVIEW HOMES (DEERFOX) LTD.;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: 36-11 2017 E;1;431 427;2580;2001721;Construction; 2020-mars-16
149  ;RYLAND ST ;K2J6R1;Ward 3;;38;GLENVIEW HOMES (DEERFOX) LTD.;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: 36-11 2017 A;1;431 427;2580;2001722;Construction; 2020-mars-16
151  ;RYLAND ST ;K2J6R1;Ward 3;;39;GLENVIEW HOMES (DEERFOX) LTD.;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: 36-03 2018 E;1;382 432;2287;2001723;Construction; 2020-mars-16
153  ;RYLAND ST ;K2J6R1;Ward 3;;40;GLENVIEW HOMES (DEERFOX) LTD.;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: 36-11 2017 A;1;431 427;2580;2001724;Construction; 2020-mars-16
140  ;RYLAND ST ;K2J6R1;Ward 3;;9;GLENVIEW HOMES (DEERFOX) LTD.;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: 36-03 2018 E;1;382 432;2287;2001725;Construction; 2020-mars-16
304  ;ROGER RD ;K1H5C4;Ward 18;620;1-2;CONTRACTOR UNKNOWN;Single;Old Ottawa;Exterior alterations to remove a 1 storey sunroom (rear yard) from a 1 storey detached dwelling;0;5 000;241;2001726;Construction; 2020-mars-16
150  ;RYLAND ST ;K2J6R1;Ward 3;;4;GLENVIEW HOMES (DEERFOX) LTD.;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: 36-03 2018 B;1;382 432;2287;2001727;Construction; 2020-mars-16
152  ;RYLAND ST ;K2J6R1;Ward 3;;3;GLENVIEW HOMES (DEERFOX) LTD.;Single;Nepean;Construct a 2 Storey Single with attached garage  Model: 36-11 2017 E;1;431 427;2580;2001728;Construction; 2020-mars-17
100  ;DREAM CRT ;;Ward 2;4M-;;LEGAULT BUILDERS;Single;Gloucester;Construct a 1 storey detached dwelling;1;335 313;3063;2001729;Construction; 2020-mars-17
1615  ;ORLEANS, BOULEVARD D'  ;K1C7E2;Ward 2;4M-;3 & 4;PREMIERE CONSTRUCTION LTD;Retail;Gloucester;Interior alterations in a 1 storey mixed use building;0;8 000;0;2001730;Construction; 2020-mars-17
47  ;SWEET PEA WAY ;;Ward 4;;1;MINTO COMMUNITIES INC.;Single;Kanata;Construct a 2 Storey Single with attached garage  Model: Hyde 2020 B;1;282 601;1690;2001732;Construction; 2020-mars-17
76  ;NATARE PL ;;Ward 4;;;MINTO COMMUNITIES INC.;Rowhouse;Kanata;Construct a 2 Storey Semi-Detached with attached garages  Models: Tahoe 3 2020 BA,Tahoe 4 2020 BA;2;422 174;3246;2001733;Construction; 2020-mars-17
78  ;NATARE PL ;;Ward 4;;;MINTO COMMUNITIES INC.;Rowhouse;Kanata;Construct a 2 Storey Semi-Detached with attached garages  Models: Tahoe 3 2020 BA,Tahoe 4 2020 BA;2;422 174;3246;2001733;Construction; 2020-mars-17
72  ;NATARE PL ;;Ward 4;;;MINTO COMMUNITIES INC.;Rowhouse;Kanata;Construct a 2 Storey Semi-Detached with attached garages  Models: Tahoe 3 2020 CA,Monterey 2020 CC;2;400 974;3083;2001734;Construction; 2020-mars-17
74  ;NATARE PL ;;Ward 4;;;MINTO COMMUNITIES INC.;Rowhouse;Kanata;Construct a 2 Storey Semi-Detached with attached garages  Models: Tahoe 3 2020 CA,Monterey 2020 CC;2;400 974;3083;2001734;Construction; 2020-mars-17
726  ;COAST CIR ;K4M0N2;Ward 21;;45;MINTO COMMUNITIES INC.;Single;Rideau;Construct a 2 Storey Single with attached garage  Model: Sugarplum 2017 B;1;416 879;2493;2001736;Construction; 2020-mars-17
1134  ;SPEEDVALE CRT ;;Ward 4;;33;MINTO COMMUNITIES INC.;Rowhouse;Kanata;Construct a 2 Storey Semi-Detached with attached garages  Models: Tahoe 4 2020 BA,Monterey 2020 BC;2;400 974;3083;2001737;Construction; 2020-mars-17
1136  ;SPEEDVALE CRT ;;Ward 4;;33;MINTO COMMUNITIES INC.;Rowhouse;Kanata;Construct a 2 Storey Semi-Detached with attached garages  Models: Tahoe 4 2020 BA,Monterey 2020 BC;2;400 974;3083;2001737;Construction; 2020-mars-17
19  ;CONCH WAY ;K4M0M4;Ward 21;;96;MINTO COMMUNITIES INC.;Single;Rideau;Construct a 2 Storey Single with attached garage  Model: Heartwood II 2019 B;1;423 735;2534;2001738;Construction; 2020-mars-17
713  ;COAST CIR ;K4M0N2;Ward 21;;65;MINTO COMMUNITIES INC.;Single;Rideau;Construct a 2 Storey Single with attached garage  Model: Dahilia 2019 A;1;449 821;2690;2001739;Construction; 2020-mars-17
6069  ;FOURTH LINE RD ;K0A2T0;Ward 21;;;***CONTRACTOR***;Single;Rideau;Demolish attached garage and construct a 2 storey addition on a 2 storey detached dwelling (rear yard);0;85 498;511;2001740;Construction; 2020-mars-17
1036  ;OFFLEY RD ;K4M0N2;Ward 21;;71;MINTO COMMUNITIES INC.;Single;Rideau;Construct a 2 Storey Single with attached garage  Model: Redwood 4 2019 C;1;589 617;3526;2001741;Construction; 2020-mars-17
38  ;CONCH WAY ;K4M0M4;Ward 21;;81;MINTO COMMUNITIES INC.;Single;Rideau;Construct a 2 Storey Single with attached garage  Model: Redwood 4 2019 C;1;589 617;3526;2001742;Construction; 2020-mars-17
321  ;FERNDALE AVE ;K1Z6P9;Ward 15;267;78;CONTRACTOR UNKNOWN;Semi - Detached;Old Ottawa;PLUMBING ONLY - Install a backwater valve on the sanitary sewer in a 2 storey semi-detached dwelling;0;0;0;2001743;Construction; 2020-mars-12
535  ;HONEYLOCUST AVE ;K2V0L8;Ward 6;;163;RICHCRAFT HOMES LIMITED;Single;Kanata;Construct a 2 Storey Single with attached garage  Model: Laurence 2018 C;1;316 045;1890;2001746;Construction; 2020-mars-18
49  ;ARIDUS CRES ;K2S2L4;Ward 21;;74;CARDEL HOMES INC. OTTAWA DIVISION;Single;Goulbourn;Construct a 2 Storey Single with attached garage  Model: Paloma 2019 A2;1;356 345;2131;2001747;Construction; 2020-mars-19
